claim_id,note_location,claim_text,source_type,primary_source_or_tier,replication_artifact,expected_value,confidence_tier,notes
C11,Part I.A; fn 22,24 C.F.R. § 8.22(b) imposes 5% mobility and 2% hearing/vision floors on new-construction and substantial-alteration projects,primary legal source,24 C.F.R. § 8.22(b),"record/hud-27061/research_outputs/24CFR8_current_raw.html (archived Part 8 text, sec. 8.22)",verbatim reproduces,A,Primary source.
C12,Part I.D; fn 39,Form HUD-50058 lines 5e-5g collect PH unit accessibility-feature fields but operationalized Public-Housing-only,primary legal source,Form HUD-50058 (current version) OMB Control No. 2577-0083,"record/hud-27061/2577-0083_form_50058_fields.pdf (archived form field specification)",field-level instruction language reproduces,A,Primary source.
C13,Part I.D; fn 40,PIH Notice 2022-03 directs PHAs to record each unit's Accessible Designation category in IMS/PIC under four categories,administrative record,PIH Notice PIH 2022-03 (HA) (Feb. 18 2022),"record/hud-27061/PIH_2022_03.pdf (archived notice; the four Accessible Designation categories)",category list reproduces,A,Primary source.
C14,not cited in the Note; app. M,"AFFH-T AFFHT0007 race-to-disability mapping-layer ratio: 4.4:1 on raw layer counts (22 race-bearing / 5 disability-bearing; race in 11+11 cross-tabbed layers, disability in 2+3 standalone tract counts) and 5:1 on the weighted-granularity count (45/9); 17 layers + 15 tables",administrative record,AFFH-T User Guide v4.0 (2017); AFFHT0007 Data Documentation (Aug. 2024),article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.5,22/5 = 4.4:1 and 45/9 = 5:1 reproduce,B,Human-authored audit memo against HUD documentation. Retained as an extended analysis at app. M § M.5.
C15,not cited in the Note; app. M,HUD decommissioned the AFFH-T interactive mapping app (page returns 404 as of May 2026); successor not deployed,administrative record,HTTP 404 at hud.gov AFFH program page (May 1 2026 check); AFFHT0007 final data release 2024,article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.5,404 confirmed; date reproduces,A,Human-authored audit memo with archived response. Jan 20 2025 Internet Archive capture noted. Retained as an extended analysis at app. M.
C16,Part I.D; fn 49,"May 2023 NSPIRE final rule preamble: ""compliance with these NSPIRE Standards does not mean the participant has complied with the Federal accessibility standards""",primary legal source,"88 Fed. Reg. 30,442, 30,453 (May 11, 2023)","record/hud-27061/88FR30442_nspire_final.pdf (archived NSPIRE final rule; preamble at the cited page)",verbatim quote reproduces,A,Primary source.
C17,Part I.D; fn 47,NSPIRE / UFAS crosswalk: FULL 0/17 = 0%; PARTIAL 4/17 = 23.5%; NONE 13/17 = 76.5%,manual coding,NSPIRE inspection item set x 17 UFAS / § 504 category consolidation,results/nspire_ufas_crosswalk.json; article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.6; article/appendices/Appendix_T_NSPIRE_UFAS_Crosswalk.md,"0/17, 4/17, 13/17 reproduce",B,Human-authored crosswalk with full methodology. No LLM component.
C18,not cited in the Note,Pre-March-1991 U.S. housing-stock share = 65.1% (within-decade adjusted); 67.5% renter-occupied,primary data source,2023 ACS 5-Year Tables B25034 and B25036,scripts/pums_pre1991_gap_analysis.py; article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.7,65.1% / 67.5% reproduce,D,Scripted reproduction from ACS tables. Not cited in the Note.
C19,not cited in the Note,"Part 8 federally-assisted project-based pool = 2,346,974 units (PH + PBS8 + § 202 + § 811); § 8.22(b) benchmark = 117,349",primary data source,HUD Picture of Subsidized Households (POSH) 2024Q4,scripts/posh_analysis.py; results/posh_results.json; article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.7,"2,346,974 and 117,349 reproduce",D,Scripted reproduction from POSH. README illustrative benchmark only; not a Note-body claim.
C21,not cited in the Note,"GAO-23-105083: PHA self-reported medians of 6% (PH) and 9% (PBRA) fully accessible; ""unverified""",primary data source,GAO-23-105083 (2023),primary source as cited; article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.7,6% / 9% figures reproduce,D,Primary source. Not cited in the Note.
C23,not cited in the Note,"QAP 2025-2026 four-way classification across the 41 classified jurisdictions (of 51 = 50 states + DC; Puerto Rico not in scope): 2 Exceeds 504; 26 Requires 504; 7 Incentives only; 6 None. The 7 manual-review and 3 extraction-error rows are reported separately as UNRESOLVED, never as None.",manual coding,51-jurisdiction QAP scan (50 states + DC); per-row dispositions 41 classified / 7 manual-review / 3 error in results/qap_jurisdiction_ledger.csv,results/qap_jurisdiction_ledger.csv; results/qap_accessibility_2025_2026.json; scripts/make_qap_ledger.py; scripts/qap_accessibility_2025_2026_scan.py; article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.9,classified-only four-way count reproduces; unresolved rows reported separately,D,"Keyword-heuristic screen with manual-review flags, not a final human-adjudicated state coding. Not cited in the Note."
C24,Part II.B; fn 66,"3,366-record unified federal FHA litigation corpus (T0)",LLM-assisted corpus construction,T0 definition in SAMPLE_DEFINITIONS.md,data/FHA_Unified_Database.json; scripts/decomposition.py,n=3366 reproduces,B,See SAMPLE_DEFINITIONS.md § 2.
C25,Part II.B; fn 66,"2,690 screened-in federal FHA cases (T1)",LLM-assisted screening,T1 definition; screening prompt in method/prompts/fha_screening_prompt.txt,results/unified_stats.json; scripts/decomposition.py,n=2690 reproduces,B,Screening protocol in Appendix M § M.1.1.
C26,Part II.B body; fn 66,"1,900 screened-in disability cases (T2 canonical disjunctive)",LLM-assisted classification,T2 canonical in SAMPLE_DEFINITIONS.md,results/decomposition_results.json; scripts/decomposition.py,n=1900 reproduces,B,"Under T2-narrow (""disability"" in protected_classes alone) the population is 1849 (reported as robustness)."
C27,Part II.B fn 66; Part II.E fn 87,736-case pleading-loss universe (T4),LLM-assisted + rule-based filter,T4 definition = T2 AND is_pleading_loss(r),scripts/pro_se_mechanism_analysis.py is_pleading_loss on data/FHA_Unified_Database.json (T4=739); method/validation_three_model/mechanism_merged_summary.json (736 classified / 728 ensemble-coded),T4=739 reproduces from is_pleading_loss on the current 3366-record DB; 736 classified / 728 ensemble-coded per the three-model merged ensemble,B,is_pleading_loss rule in scripts/pro_se_mechanism_analysis.py:116 (P3_END = 2026-07-01). T4 filter on the 3366-record DB returns 739; 736 classified by the three-model ensemble after three uncoded residuals; 728 carry merged coding. results/pro_se_mechanism_divergence_results.json reflects the Pipeline-1 universe (677/676) per SAMPLE_DEFINITIONS section 2.
C29,Part II.E; fn 87,TRANSLATION-family share: pro se vs. represented,LLM-assisted classification (three-model majority-vote ensemble; primary),T4 x representation status (728 of 739 cases parseable across all three coders),method/validation_three_model/ensemble_results.json; method/validation_three_model/compute_ensemble.py,45.3% pro se (286/632) / 13.7% represented (13/95) / gap 31.6 pp,C,Ensemble levels are pipeline-internal; the Note reports a directional gap only. See VALIDATION.md § 3.
C30,Part II.E; fn 87,Family × representation contingency χ²(8) = 72.07; p = 1.9 × 10⁻¹²; Cramér's V = 0.315,LLM-assisted + statistical test (three-model ensemble; primary),T4 x representation status,method/validation_three_model/ensemble_results.json; method/validation_three_model/compute_ensemble.py,χ²(8)=72.07; p=1.9e-12; V=0.315 reproduce exactly,C,A two-model K2.5 + GLM-5.1 coding on the full 676-case universe returns χ²(8) = 33.23; p = 5.60e-05; V = 0.222 — retained as a backward-compatibility check (κ = 0.574 vs. ensemble). See VALIDATION.md § 3. The statistic is pipeline-internal; fn 87 prints the directional gap only.
C31,not cited in the Note,Validation backward-compatibility: K2.5 + GLM-5.1 coding on the full 676-case universe returns 47.3% / 15.4% / 31.9 pp (κ = 0.574 vs. primary ensemble); sample-level K2.6 re-read on 150 cases returns Cohen's κ = 0.6264 against the K2.5 + GLM-5.1 coding,LLM-assisted validation,Appendix M § M.16,method/validation_kimi_k2_6/agreement_report.md; method/validation_three_model/ensemble_report.md; method/VALIDATION.md secs. 3.4 and 4,"κ = 0.574 (full 676), κ = 0.6264 (sample n=150), 31.9 pp (full 676) reproduce",D,"No human recode exists anywhere in the pipeline; K2.6 serves as a primary coder, so the 150-case K2.6 run is retained only as a backward-compatibility artifact. See VALIDATION.md §§ 3-4."
C32,Part II.E; fn 87,"Primary-coding inter-rater reliability: Fleiss' κ = 0.6297 across the three primary coders (Kimi K2.6 + GLM-5.1 + DeepSeek V3.2) on 728 of 739 cases; primary-ensemble gap 31.6 pp; χ²(1) = 32.70, p = 1.1 × 10⁻⁸; 95 % CI [23.6, 39.5]",LLM-assisted primary coding,Appendix M § M.16; VALIDATION.md § 3,method/validation_three_model/ensemble_results.json; method/validation_three_model/ensemble_report.md; method/VALIDATION.md,κ = 0.6297; 31.6 pp; χ²(1) = 32.70; p = 1.1e-08 reproduce,C,Fleiss' κ reflects agreement across the three primary coders; 0.61-0.80 band of the Landis & Koch scale. 11 cases dropped where ≥ 1 primary coder returned unparseable response (739 − 11 = 728). the Note cites the ensemble primary. The statistics are pipeline-internal; fn 87 prints the directional gap only.
C33,Part II.E; fn 87,Validation Layer (i): blind Claude Opus 4.7 fourth-coder full re-read on 668 cases (κ = 0.6024 vs. primary ensemble); Opus-only TRANSLATION-family gap ≈ 29.24 pp,LLM-assisted validation,Appendix M § M.16; VALIDATION.md § 5,method/validation_four_coder_full/best3_ensemble_results.json; method/VALIDATION.md,κ = 0.6024; ≈ 29 pp reproduces,C,"Separate execution path from three-model primary ensemble. 22 independent Opus 4.7 coder seats, each given the verbatim mechanism prompt and a blind manifest. Retained as independent external validation layer. The statistics are pipeline-internal; fn 87 prints the directional gap only."
C33a,Part II.E; fn 87,Validation Layer (iii): Opus-4.7-as-resolver sensitivity variant (κ = 0.80 vs. primary ensemble; gap = 29.24 pp; p = 2.45 × 10⁻⁷),LLM-assisted validation,Appendix M § M.16; VALIDATION.md § 5,method/validation_three_model/opus_resolver_report.md; method/VALIDATION.md,κ = 0.80; 29.24 pp; p = 2.45e-07 reproduce,C,Sensitivity variant in which Opus 4.7 replaces the majority-vote rule as tiebreaker on disputed cases. The statistics are pipeline-internal; fn 87 prints the directional gap only.
C34,Part II.E; fn 87,"Multi-layer convergence: validation-layer gaps span approximately 28.2-32.4 pp, bracketing the 31.6-pp primary-coding headline",cross-validation,"Composite of the validation layers against the three-model ensemble primary: (i) Opus 4.7 blind full re-read (29.24 pp) + (ii) backward-compatibility against K2.5 + GLM-5.1 coding (31.9 pp on 676; 32.4 pp on 668) + (iii) Opus-4.7-as-resolver sensitivity (29.24 pp) + (iv) K2.6 150-case sample replay (28.2 pp, the span's low end)",method/VALIDATION.md secs. 3.4 and 5,layer gaps span approximately 28.2-32.4 pp; the 31.6-pp primary headline sits within,C,the 28.2-32.4 pp span is pipeline-internal validation convergence. See VALIDATION.md §§ 3-5. The statistics are pipeline-internal; fn 87 prints the directional gap only.
C35,not cited in the Note; app. M §§ M.7-M.11,47-AFH sample: 45/47 disability sections present; 13/47 quantitative disability goals; 11/47 accessible-unit inventories; 46/47 race-deeper-than-disability,manual coding,Appendix M § M.11,article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.11,47-case coding reproduces,B,Human-authored AFH coding memos. Retained as an extended analysis at app. M §§ M.7-M.11.
C36,Part IV.B; fn 152,"CoreLogic (2d Cir. Feb. 20, 2026) dismissed the fair-housing organization's appeal for lack of Article III standing after Alliance; reached the individual co-plaintiff's FHA claim on the merits; proximate-cause holding: liability ""will not extend beyond the first step""",primary legal source,"Conn. Fair Hous. Ctr. v. CoreLogic Rental Prop. Sols., LLC, 167 F.4th 605 (2d Cir. 2026) (Nos. 23-1118(L), 23-1166(XAP))",results/post_alliance_standing_audit.md; app. D § D.4,case citation and holding verify,A,CoreLogic is the operative post-Alliance standing authority (fn 152; the Note prints the reporter cite 167 F.4th 605). Extended standing analysis in app. D.
C37,Part IV.B; fn 134,Loper Bright does not displace State Farm reasoned-explanation review,primary legal source,"Loper Bright Enters. v. Raimondo, 603 U.S. 369, 395-96 (2024)","no public in-repository artifact -- the supplementary Loper Bright ratchet analysis is retained privately; verify at the cited reporter pages. Full audit memorandum retained privately (replication/DATA_PROVENANCE.md, Privately retained material)",holdings verify,A,Primary source.
C38,"Introduction; fns 6, 144","Form HUD-27061 approval expiration June 30 2026 reached; June 12 2026 60-day renewal notice (91 FR 35,697) pending; no extension/successor ICR on record at OIRA as of July 1 2026",administrative record,"reginfo.gov ICR History cycle 202301-2535-001; 91 Fed. Reg. 35,697 (June 12 2026)",article/appendices/Appendix_C_HUD_Administrative_Record.md sec. C.1; article/appendices/admin_record_c/pra_comment_2026/oira_status_pulls.md; record/hud-27061/CHRONOLOGY.md,"91 FR 35,697 and June 30 expiration verify",A,"Two-branch posture (renewal-approved / unrepaired-expiration); fn 144 as-of date July 7, 2026. App. C § C.1 and admin_record_c/pra_comment_2026/oira_status_pulls.md carry the OIRA status watch."
C39,Part I.A; fn 23,"24 C.F.R. § 8.24 / § 8.25: program-accessibility standard on existing stock ""when viewed in its entirety""; not a hard unit-count floor",primary legal source,24 C.F.R. § 8.24; § 8.25,"record/hud-27061/research_outputs/24CFR8_current_raw.html (archived Part 8 text, secs. 8.24 and 8.25); record/hud-27061/cfr_part121_analysis.md sec. 4",verbatim reproduces,A,Primary source.
C41,Part I.D; fns 37-38,"HUD OIG Audit Report No. 2022-BO-0001 (Feb. 7, 2022) identified deficiencies in HUD's tracking of reasonable-accommodation requests in Public Housing; recommendation 1D; closed Jan. 8 2025",administrative record,HUD OIG 2022-BO-0001; hudoig.gov; HUD OIG Recommendation Dashboard,"record/hud-27061/HUD_OIG_2022-BO-0001.pdf (archived OIG report)",report and date reproduce,A,Primary source. The Note records the Jan 2025 closure ('administratively' modifier deleted in-draft at S-B; row conformed 2026-07-20).
C42,Introduction fns 2-3; Part II.E,"Ely v. Mobile Hous. Bd. chronology: May 11 2010 four-bedroom voucher citing son's ""present medical condition""; extension denial; termination",primary legal source,"Ely v. Mobile Hous. Bd., 13 F. Supp. 3d 1216, 1219-22 (S.D. Ala. 2014); aff'd 605 F. App'x 846, 848 & n.1 (11th Cir. 2015)","data/FHA_Unified_Database.json (corpus membership only; the minimized public projection carries no opinion text, so the chronology verifies at the cited reporter pages)",chronology reproduces,A,"Primary source. The Note's Conclusion adds the narrative sentence: ""Donavette Ely's file contained the disability-related fact that made her later request legally salient; no system carried that fact forward in a form that counted when it mattered."""
C43,Part III.A; fn 93,Snyder v. Barry Realty: only published federal decision quoting § 3614a parenthetical,primary legal source,"Snyder v. Barry Realty, 953 F. Supp. 217, 220 n.1 (N.D. Ill. 1996)","article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.2.1; replication/queries/part_121.query.txt (the only-published-decision finding); data/FHA_Unified_Database.json (corpus membership); the quoted footnote verifies at the cited reporter page",quote reproduces,A,"Primary source. fn 93 also carries Nationwide Mut. Ins. Co. v. Cisneros, 52 F.3d 1351, 1354 (6th Cir. 1995)."
C44,Part I.D; fns 39-40,Form HUD-50058 and PIH 2022-03 are program-specific (PH-only; PHA-administered designations in IMS/PIC) and do not coordinate across project-based voucher and community-planning streams Form HUD-27061 reaches,cross-program audit,Human-authored fragment-coordination memo,results/hud_existing_disability_data_systems.md § 2,conclusion reproduces,B,Human-authored audit memo. Supports app. C exhibit 9.
C45,Not printed in the Note; context for Part I.E's burden-rationale gap (fns 55-56),"HUD's 2023 Supporting Statement (Item 8) promised that at future PRA renewals HUD would ""evaluate inclusion of SOGI data collection, among other protected characteristics""; the 2026 renewal notice reflects no such evaluation for the Part 121 disability category",administrative record,"Supporting Statement A, Form HUD-27061, OMB Control No. 2535-0113, Item 8 (2023)",record/hud-27061/SSA_2023.txt (Item 8); app. C § C.2,verbatim quote reproduces,A,"Demonstrated-practice clause: 1989 ""remains committed"" -> 2023 ""will evaluate ... other protected characteristics"" -> 2026 unchanged. Text-verified verbatim against SSA_2023.txt Item 8 (2026-07-02)."
C46,Part I.E body; Introduction; Part IV.C; fn 6,"Collection ""described broader than built"": the 2026 abstract describes ""race, ethnicity, and other protected class data"" required by the Fair Housing Act, while the operative instrument fields race and ethnicity only",administrative record,"91 Fed. Reg. 35,697, 35,698 (June 12, 2026)","record/hud-27061/ (91 FR 35,697); app. C § C.1; article/appendices/admin_record_c/pra_comment_2026/",abstract language reproduces,A,"Primary source. Central ""described broader than built"" characterization (abstract-adjacent intro, I.E, IV.C). 91 FR 35,697 abstract quoted in app. C § C.1; prepared PRA-comment materials are contextual."
C47,Part I.E body; fn 6,"Caption inconsistency: the 2026 60-day notice's caption still carries the 2022 title (""Race and Other Demographic Data Reporting Form"") over the narrowed renewal, unexplained",administrative record,"91 Fed. Reg. 35,697 (June 12, 2026); 87 Fed. Reg. 58,524 (Sept. 27, 2022)","record/hud-27061/ (91 FR 35,697; 87 FR 58,524); app. C § C.1",caption text reproduces,A,"The manuscript does not characterize the caption; fn 6 reproduces the 2026 notice's FR caption verbatim (which carries the 2022 ""Race and Other Demographic Data Reporting Form"" title) beside the 2023 ""Race and Ethnic Collection"" reversion; the inconsistency characterization rests on the compared notices themselves (record/hud-27061/)."
C48,fn 153; Data Availability,"Filed individual-capacity PRA comment on Proposed Information Collection (Form HUD-27061), regulations.gov Docket No. HUD-2006-0214 (FR-notice caption FR-7093-N-02), OMB Control No. 2535-0113; filed July 6 2026, posted July 7 2026 as Comment No. HUD-2006-0214-0011; contextual only, not a standing predicate",administrative record,"Comment No. HUD-2006-0214-0011, https://www.regulations.gov/comment/HUD-2006-0214-0011",article/appendices/admin_record_c/pra_comment_2026/Nicholas_Gill_full_submission_2026-07-06_Redacted.pdf; article/appendices/admin_record_c/pra_comment_2026/pra_comment_2026_filed_text.md; article/appendices/admin_record_c/pra_comment_2026/regulations_gov_confirmation.md,as-filed comment archived; Comment No. HUD-2006-0214-0011 posted and publicly retrievable,D,"FR-7093-N-02 is the FR-notice caption; the regulations.gov docket is HUD-2006-0214. Filed July 6 and posted July 7, 2026 (verified via the regulations.gov API). Contextual only — the Note's argument does not depend on the comment; not record-evidence reliance and not a standing predicate."
C49,not cited in the Note; app. A-6 (document-level archive),Kitagawa composition share of the P1->P3 document-level strict-win decline: 42.6% for RD-PURE disability claims; DT-PURE shows no decline to decompose (strict rate rose 4.8pp); cross-class shares 57.5% (DIS) vs 17.2% (RACE-DT),empirical (machine-classified),FHA_Unified_Database.json SHA256 bcadb0ee...,replication/comparator/KITAGAWA_DECOMPOSITION.csv; replication/comparator/recoding_2026-07-07/audit/AUDIT_RECOMPUTE.json,42.6 / +4.8pp / 57.5 / 17.2 reproduce,DOCUMENT-LEVEL (machine-classified),Document-level pipeline output; independently reproduced by the standalone recompute audit (AUDIT_RECOMPUTE.json); the audit narrative is preserved in the author's archive. The reported Part II series is the case-level series in results/series_2026-07.json; the printed fn 89 core is the pleading-deficit contrast.
C50,app. A-6; fn 89 (direction-only),Institutionally-held-fact (Family-A) pleading deficits among pro se pleading losses: RD-PURE 13.6% [7.6-20.3] vs DT-PURE 0.8% [0.0-2.3] vs RACE-DT 0.6% [0.0-1.9] (verified estimates after blind full-opinion audit),empirical (three-model consensus + blind panel verification),FHA_Unified_Database.json rationale fields; frozen prompts (hashes pinned in replication/comparator/provenance/verification_stage_manifest.json and replication/comparator/provenance/remediation_hash_manifest.json),replication/comparator/RATIONALE_SUMMARY_CONSENSUS.csv; replication/comparator/recoding_2026-07-07/raw_text_verification/VERIFICATION_RESULTS.json; replication/comparator/provenance/VERIFICATION_CLOSURE.md,13.6/0.8/0.6 with stated CIs reproduce,MACHINE-VERIFIED / APPENDIX-READY,No human coder anywhere (app. A-6.5a); 19/26 A rows sustained by blind audit; raw-text lane reproduces at 12.2/0.0/1.9. The levels are appendix-level (app. A-6); the Note's fn 89 reports the contrast direction-only and does not print them.
C51,not cited in the Note; app. A-6.9 (document-level archive),"Document-level pre-trend series: P1a->P1b strict change -20.7pp (RD-PURE) vs +1.5pp (DT-PURE); differential -22.2pp, CI [-40.7,-2.4]; the pro se composition shift shows no pre-trend (48.8%->40.7% within P1, then 73.0% by P3)",empirical (machine-classified; registered adverse outcome),FHA_Unified_Database.json,results/supporting/pretrend_p1_split.csv; article/appendices/Appendix_A6_Comparator_Analysis.md sec. A-6.9,-22.2pp differential reproduces; DIVERGING rule outcome,DOCUMENT-LEVEL (machine-classified),Document-level pipeline output; the registered rule returned DIVERGING and is reported per registration at app. A-6.9. The reported Part II series is the case-level series in results/series_2026-07.json.
C52,app. A-6 sec. A-6.6,Race-arm retrieval capture differential: corpus captures roughly one half to two thirds as large a share of race-mention FHA opinions as disability-mention ones (0.51-0.66 across conventions),empirical (live API calibration),CourtListener REST v4 spot counts 2026-07-07 (credential-free URLs archived),replication/comparator/recoding_2026-07-07/courtlistener_recall/recall_results.json,counts 2522/1400/1027/872 and ratios reproduce,APPENDIX-READY (bounded calibration),Attaches to race-arm LEVEL claims; within-disability contrast does not inherit it.
C53,fn 90,"Registered selection audit of the represented decided DIS docket: the printed case-level reapplication returns INDETERMINATE rather than SUPPORTS-BOUNDING - the largest registered-dimension shift is the summary-judgment posture share, 25.0% (29/116) to 36.7% (22/60), roughly 11.7pp, just past the registered 10-point bounding threshold; the private-landlord shift restates to about 8.4pp and is no longer the maximum; recorded as an unresolved docket-composition signal",empirical (machine-classified),FHA_Unified_Database.json,results/supporting/selection_audit.csv; method/preregistration/REGISTRATION.md; article/appendices/Appendix_A7_Selection_and_Participation.md,"case-level: max shift ~11.7pp (SJ posture), past the 10pp threshold; INDETERMINATE",APPENDIX-READY,"Observables-only bound; within-bucket selection remains possible and fn 90 says so. The DOCUMENT-LEVEL registered run returned SUPPORTS-BOUNDING (max shift 8.6pp, defendant_type/MUNICIPALITY; all dims <=10pp) and is retained in the registered-run archive (method/preregistration/; results/supporting/); fn 90 prints the case-level INDETERMINATE reapplication (app. A-7)."
C54,app. A-7,Institutional-plaintiff participation in decided cases roughly halves in every arm P1->P3 (DIS 19.3%->9.6%; DIS_ANY 16.2%->8.3%; RD-PURE 18.8%->7.8%; DT-PURE 11.5%->3.8%; RACE-DT 4.3%->1.4%); org roster churn 49 exits / 24 entrants / 7 continuing,empirical (machine-classified),FHA_Unified_Database.json (UPPERCASE plaintiff_type vocabulary),results/supporting/institutional_participation.csv; results/supporting/org_roster.csv,all five arm series reproduce,APPENDIX-READY,Computed under the UPPERCASE plaintiff_type vocabulary (institutional-share column of record: replication/comparator/INSTITUTIONAL_SHARE_CORRECTED.csv); FHIP terminee matching CONDITIONAL-UNRESOLVED (no full roster located). DOCUMENT-LEVEL participation cells; case-level recomputes in app. A-7.4.
